ID|ContainsAbbr|Text
188482|0|Gründe
188482|0|I.
188482|1|Die in München ansässige Klägerin, ein Versicherungsunternehmen, begehrt nach Abgabe an das im Mahnbescheid als Streitgericht bezeichnete Landgericht Augsburg mit Anspruchsbegründung vom 12.2.2018 von dem im Bezirk des Landgerichts Augsburg wohnhaften Beklagten, einem Versicherungsvermittler, Rückzahlung von Provisionsvorschüssen i.H.v. 6.150,23 € wegen vom Beklagten vermittelter, aber stornierter bzw. reduzierter Versicherungen.
188482|1|Die Parteien schlossen am 1.4.2009 einen Versicherungsagenturvertrag, wonach der Beklagte ausschließlich für die Klägerin im Wesentlichen die Erschließung neuer Kundenkreise und die Pflege der Bestandskunden übernahm.
188482|1|Die Klägerin stützt ihren Anspruch auf Ziff. 4 der nach dem Agenturvertrag geltenden Allgemeinen Provisionsbedingungen, wonach eine Abschlussprovision zurückbelastet wird, soweit ein Versicherungsvertrag storniert oder reduziert wird.
188482|1|Das Verfahren wurde zunächst von der allgemeinen Einlaufstelle des Landgerichts Augsburg der für Streitigkeiten aus Versicherungsvertragsverhältnissen gemäß  § 72 a Abs. 1 Nr. 4  GVG zuständigen 9  . Zivilkammer des Landgerichts Augsburg zugeteilt.
188482|0|Nach Eingang der Anspruchsbegründung verfügte die Vorsitzende dieser Kammer die Umtragung in den allgemeinen Turnus.
188482|1|Die 2. Zivilkammer des Landgerichts Augsburg (Az.: 21 O 178/18) erklärte sich nach Zustellung der Klage und Eingang von Klageerwiderung und Replik mit Beschluss vom 25.6.2018 für unzuständig und leitete das Verfahren der 9. Zivilkammer zu.
188482|0|Zur Begründung ist ausgeführt, es sei die Zuständigkeit der Spezialkammer gegeben.
188482|0|Es handle sich zwar nicht um eine Streitigkeit zwischen Versicherungsnehmer, Versichertem oder Bezugsberechtigem einerseits und Versicherer andererseits.
188482|1|Unter  § 72a Nr. 4  GVG  würden wegen der Sachnähe aber auch Streitigkeiten aus Versicherungsvermittlung und -beratung i.S.d.  § 59  VVG  sowie Streitigkeiten mit Versicherungsmaklern i.S.d.  § 59 Abs. 3  VVG  fallen, wobei die Beteiligung des Versicherungsnehmers, Versicherten oder Bezugsberechtigen nicht zwingend sei.
188482|1|Die im Rahmen des  § 72a Nr. 4  GVG  erforderliche Sachnähe ergebe sich daraus, dass zur Beurteilung der Begründetheit von Provisionsrückforderungen gegen den Versicherungsvermittler in Einzelheiten der zu Grunde liegenden Versicherungsverträge einzusteigen sei.
188482|0|Der Beschluss wurde den Parteien mitgeteilt.
188482|1|Mit Beschluss vom 4.7.2018 lehnte die 9. Zivilkammer (Az. 91 O 178/18) die Übernahme des Verfahrens ab mit der Begründung, es liege keine Streitigkeit i.S.d.  § 72a Nr. 4  GVG  vor.
188482|1|Eine Sachnähe zu Versicherungsvertragsverhältnissen, mit der die über den Wortlaut des  § 72a Nr. 4  GVG  hinausgehende Ausweitung des Anwendungsbereiches gerechtfertigt werden könne, bestehe, wenn Ansprüche eines Versicherungsnehmers gegen Versicherungsvermittler/-berater betroffen seien, die im Zusammenhang mit deren Vermittlungs- oder Beratungstätigkeit stehen.
188482|0|Insoweit gehe es um die unmittelbare Einwirkung dieser Personen auf den konkreten Versicherungsvertrag und die im Versicherungsvertragsgesetz enthaltenen Regelungen.
188482|0|Im vorliegenden Fall sei nicht ersichtlich, inwiefern zur Begründetheit der Klage Einzelheiten der zugrundeliegenden Versicherungsverträge beurteilt werden müssten.
188482|1|Mit Beschluss vom 11.7.2018 hat die 2. Zivilkammer des Landgerichts Augsburg (Az. nunmehr: 21 O 2275/18) die Akten dem Oberlandesgericht München (Az.: 34 AR 114/18) zur Bestimmung der zuständigen Zivilkammer entsprechend  § 36 Abs. 1 Nr. 6  ZPO  vorgelegt.
188482|1|Dieser Beschluss wurde mit dem Ablehnungsbeschluss der 9. Zivilkammer vom 4.7.2018 den Parteien mitgeteilt.
188482|0|Die Parteien hatten im Bestimmungsverfahren Gelegenheit zur Äußerung.
188482|0|Die Klägerin hat vorgetragen, es bestehe die Möglichkeit, dass im Rahmen der Beweisaufnahme die Frage zu prüfen sei, wer die Nichtausführung eines Versicherungsvertrages zu vertreten habe.
188482|0|Dies könne auch Fragen des Versicherungsvertrages betreffen.
188482|0|II.
188482|1|Das Oberlandesgericht München ist als das nächst höhere Gericht analog  §§ 36 Abs. 1, 37  ZPO  zur Entscheidung über den Zuständigkeitsstreit berufen.
188482|1|1. Die Voraussetzungen für die funktionelle Zuständigkeitsbestimmung entsprechend  §§ 36 Abs. 1 Nr. 6, 37  ZPO  liegen vor.
188482|1|Die 2. und die 9. Zivilkammer des Landgerichts Augsburg haben sich jeweils durch Beschlüsse für unzuständig erklärt.
188482|1|Zwar setzt  § 36 Abs. 1 Nr. 6  ZPO  nach seinem Wortlaut voraus, dass sich verschiedene Gerichte, und nicht einzelne Spruchkörper, rechtskräftig für unzuständig erklärt haben.
188482|1|Die Vorschrift ist jedoch entsprechend anwendbar, wenn zwischen mehreren Spruchkörpern des gleichen Gerichts ein Zuständigkeitsstreit besteht und die Entscheidung des Kompetenzkonflikts nicht von der Auslegung des Geschäftsverteilungsplans, sondern von einer gesetzlichen Zuweisungsregelung abhängt (BGH NJW-RR 2014, 573; BGH NJW 2000, 80; KG BeckRS 2018, 32681; OLG Frankfurt a. M. BeckRS 2018, 17370; OLG Hamburg BeckRS 2018, 33588; Hüßtege in Thomas/Putzo ZPO 39. Aufl.  § 72a  GVG  Rn. 9; Zöller/Lückemann ZPO 32. Aufl.  § 72a  GVG  Rn. 7; BeckOK ZPO/Fischer 31. Edition § 348 Rn. 64; Fölsch in MDR 2018, 1481; Schultzky in MDR 2018, 1015 ff.). Bei der in  § 72a  GVG  aufgeführten Zuständigkeit der Spezialkammern handelt es sich um eine gesetzliche Zuständigkeitsverteilung (BeckOK/Feldmann GVG 1. Edition § 72a Rn. 6; Zöller/Lückemann  § 72a  GVG  Rn. 2; Fölsch in MDR 2018, 1481 ff.).
188482|1|Auch die weiteren Voraussetzungen des  § 36 Abs. 1 Nr. 6  ZPO  sind erfüllt.
188482|1|Die 2. Zivilkammer des Landgerichts Augsburg hat die Zustellung der Klage veranlasst und damit die für die Zuständigkeitsbestimmung notwendige Rechtshängigkeit der Klage gemäß  §§ 253 Abs. 1, 263 Abs. 1  ZPO bewirkt (BGH NJW-RR 1996  , 254; Zöller/Schultzky § 36 Rn. 31; Hüßtege in Thomas/Putzo § 36 Rn. 22).
188482|1|Die am Kompetenzkonflikt beteiligten Spruchkörper haben sich auch jeweils durch den Parteien bekannt gegebene Entscheidungen für unzuständig erklärt, die 2. Zivilkammer durch Beschluss vom 25.6.2018 und die 9. Zivilkammer durch den die Übernahme ablehnenden Beschluss vom 4.7.2018. Dieser wurde zwar nicht durch die 9. Zivilkammer, wohl aber durch die 2. Zivilkammer - was ausreichend ist - mit Verfügung vom 11.7.2018 an die Parteien herausgegeben.
188482|1|Die entsprechende Anwendung des  § 36 Abs. 1 Nr. 6  ZPO  bei einem Kompetenzkonflikt zwischen zwei Spruchkörpern setzt nämlich zumindest voraus, dass die betreffenden Entscheidungen den Beteiligten bekannt gemacht wurden (KG NJW-RR 2018, 639; KG BeckRS 2018, 32681; Hüßtege in Thomas/Putzo § 36 Rn. 23; Zöller/Schultzky § 36 Rn. 35).
188482|1|Die Zuständigkeit des 9. Zivilsenats steht auch nicht bereits deswegen fest, weil der Beschluss des 2. Zivilsenats für den 9. Zivilsenat bindend wäre.
188482|0|Eine Vorschrift, die - wie etwa  § 281  ZPO  oder  § 102  GVG  - die Bindung eines Verweisungsbeschlusses regeln würde, fehlt im Zusammenhang mit der Zuständigkeitsregelung des  § 72a  GVG (OLG Hamburg BeckRS 2018  , 18116).
188482|1|Die bindende Wirkung einer Verweisung gem.  § 281  ZPO  setzt voraus, dass zwei verschiedene Gerichte beteiligt sind.
188482|0|Das trifft auf allgemeine Zivilkammern und Spezialkammern desselben Landgerichts, deren Abgrenzung voneinander keine Frage der sachlichen Zuständigkeit im herkömmlichen Sinne der ZPO ist, nicht zu (BGH NJW 1978, 1531).
188482|1|2. Funktional zuständig ist die allgemeine Zivilkammer.
188482|1|a) Die in  § 72a Satz 1  GVG  getroffenen Regelung orientiert sich an den in  § 348 Abs. 1 Satz 2 Nr. 2  ZPO  genannten Sachgebieten und deren Begriffsverständnis.
188482|1|Die unter  § 72a Abs. 1 Satz 1 Nr. 4  GVG  (entsprechend  § 348 Abs. 1 Nr. 2 Buchst. h  ZPO  ) genannten Streitigkeiten aus Versicherungsvertragsverhältnissen umfassen Streitigkeiten über Ansprüche aus Versicherungsverhältnissen zwischen dem Versicherungsnehmer, dem Versicherten oder dem Bezugsberechtigten einerseits und dem Versicherer anderseits und - nach dem Willen des Gesetzgebers - daneben, wegen der Sachnähe, auch Streitigkeiten aus Versicherungsvermittlung und -beratung i.S.d.  § 59  VVG (BT  -Drs. 18/11437, 45; BeckOK/Feldmann  § 72a  GVG  Rn. 16).
188482|1|Streitigkeiten aus Versicherungsvertragsverhältnissen betreffen Ansprüche aus Versicherungsverträgen, also alle mit der Begründung und Durchführung eines Versicherungsverhältnisses verbundenen Streitigkeiten (Büscher in Wieczorek/Schütze ZPO 4. Aufl. § 348 Rn. 62; Klimke in Prölss/Martin VVG 30. Aufl. § 215 Rn. 4).
188482|1|Streitigkeiten aus Versicherungsvermittlung und -beratung sind Klagen mit Versicherungsvermittlern i.S.d.  § 59 Abs. 2 und 3  VVG  , d.h. mit Versicherungsvertretern oder -maklern bzw. mit Versicherungsberatern i.S.d.  § 59 Abs. 4  VVG  , die im Zusammenhang mit dem Abschluss oder der Anbahnung eines (zumindest abstrakt in Aussicht genommenen) Versicherungsvertrages stehen (Klimke in Prölss/Martin § 215 Rn. 6, 7).
188482|0|Die in der Gesetzesbegründung enthaltene Formulierung „aus“ setzt das Vorliegen eines Versicherungsvermittlungs- oder -beratungsvertrages voraus, aus dem die betreffenden Ansprüche abgeleitet werden.
188482|1|b) Ausgehend von diesem Verständnis ist nicht ersichtlich, dass für den vorliegenden Rechtsstreit eine Sonderzuständigkeit nach  § 72a Abs. 1 Satz 1 Nr. 4  GVG  begründet sein könnte.
188482|1|Grundlage des streitgegenständlichen Anspruchs ist kein Versicherungsvertrags-, vermittlungs- oder -beratungsverhältnis, sondern der zwischen den Parteien abgeschlossene Agenturvertrag i.V.m. mit den in Bezug genommenen Allgemeinen Provisionsbedingungen der Klägerin.
188482|0|Die neu geschaffenen gesetzlichen Sonderzuständigkeiten sollen nach der Gesetzesbegründung sicherstellen, dass eine häufige Befassung mit einer bestimmten Materie eine schnellere und kompetentere Bearbeitung der betreffenden Verfahren erwarten lässt.
188482|0|Dieses Anliegen vermag jedoch nichts daran zu ändern, dass die hierzu neu geschaffenen Vorschriften - wie auch sonstige Zuständigkeitsnormen - einer klaren und eindeutigen Abgrenzung bedürfen.
188482|0|Denn ihre uferlose Ausdehnung brächte die Gefahr mit sich, die mit ihrer Einführung von dem Gesetzgeber erhofften Spezialisierungseffekte wieder zunichte zu machen (KG BeckRS 2018, 32681).
188482|0|Es mag sein, dass im vorliegenden Fall im Zusammenhang mit dem geltend gemachten Anspruch auf Provisionsrückzahlung auch Fragestellungen versicherungsvertraglicher Art von Bedeutung sein können.
188482|1|Allein dies rechtfertigt jedoch noch nicht die Anwendung des  § 72a Abs. 1 Satz 1 Nr. 4  GVG  .
188452|0|Der Kläger trägt die Kosten des Zulassungsverfahrens.
188452|1|Der Streitwert wird für das Zulassungsverfahren auf 15.000,00 € festgesetzt.
188452|0|1
188452|0|Der Antrag des Klägers auf Zulassung der Berufung ist unbegründet.
188452|0|2
188452|1|Die Berufung ist nicht wegen der geltend gemachten ernstlichen Zweifel an der Richtigkeit des erstinstanzlichen Urteils (§ 124 Abs. 2 Nr. 1 VwGO) zuzulassen.
188452|1|Die ernstlichen Zweifel sind ausschließlich behauptet, nicht jedoch, wie § 124a Abs. 4 Satz 4 VwGO verlangt, dargelegt.
188452|0|Der Einwand des Klägers, sein Vortrag sei unstreitig gestellt worden, begründet schon deshalb keine ernstlichen Zweifel an der Richtigkeit des Urteils, weil das Gericht den Sachverhalt im Verwaltungsprozess von Amts wegen erforscht (§ 86 VwGO).
188452|0|3
188452|1|Der geltend gemachte Verfahrensmangel (§ 124 Abs. 2 Nr. 5 VwGO) liegt nicht vor.
188452|1|Der Kläger hat hierzu vorgebracht, er habe von der in der mündlichen Verhandlung erwähnten Klageerwiderung und Vorlage der Verwaltungsvorgänge sowie von im erstinstanzlichen Urteil angeführten Schreiben der C.  C1.   vom 12.10.2016 und der Deutschen Rentenversicherung S.         vom 3.12.2014 keine Kenntnis erhalten.
188452|0|Diese Einwände führen nicht auf einen Verstoß gegen den Grundsatz der Wahrung rechtlichen Gehörs.
188452|0|4
188452|1|Das Gebot rechtlichen Gehörs verlangt, dass das Urteil nur auf Tatsachen und Beweisergebnisse gestützt wird, zu denen die Beteiligten sich äußern konnten (Art. 103 Abs. 1 GG, § 108 Abs. 2 VwGO).
188452|0|Die Verwertung von Tatsachen und Beweisergebnissen setzt deshalb voraus, dass diese von den Verfahrensbeteiligten oder vom Gericht im Einzelnen bezeichnet zum Gegenstand der mündlichen Verhandlung gemacht oder sonst in das Verfahren eingeführt worden sind, und dass sich die Beteiligten hierzu äußern konnten.
188452|0|5
188452|1|StRspr. vgl. BVerfG, Beschluss vom 18.7.2001 ‒ 2 BvR 982/00 ‒, InfAuslR 2001, 463 = juris, Rn. 15 f.; BVerwG, Urteil vom 14.11.2016 ‒ 5 C 10.15 D ‒, BVerwGE 156, 229 = juris, Rn . 65.    6
188452|0|Es liegt jedoch keine Verletzung des rechtlichen Gehörs vor, wenn ein Beteiligter es unterlässt, Gebrauch von den ihm verfahrensrechtlich gebotenen Möglichkeiten zu machen, sich rechtliches Gehör zu verschaffen.
188452|0|Für den Fall, dass eine mündliche Verhandlung stattfindet, begründet der Anspruch auf rechtliches Gehör vor allem das Recht des Beteiligten auf Äußerung in dieser Verhandlung.
188452|0|Inwieweit diese Gelegenheit wahrgenommen wird, ist Sache des Beteiligten.
188452|0|Durch seine prozessuale Mitverantwortung wird der Anspruch auf rechtliches Gehör begrenzt.
188452|0|7
188452|1|Vgl. BVerwG, Urteil vom 7.6.2017 ‒ 5 C 5.17 D ‒, juris, Rn. 8.    8
188452|0|Die Möglichkeit, sich Kenntnis über die Klageerwiderung und die Verwaltungsvorgänge zu verschaffen, hätte dem Kläger in der mündlichen Verhandlung offen gestanden.
188452|1|Ausweislich des Protokolls der mündlichen Verhandlung vom 7.3.2017 ist die Sach- und Rechtslage mit den Erschienenen, unter anderem dem Kläger und seinem Prozessbevollmächtigten, erörtert worden.
188452|1|Dabei hätte ausreichend Gelegenheit bestanden, sich die entsprechende Kenntnis durch Nachfrage bzw. Einsichtnahme in die Verwaltungsvorgänge zu verschaffen, zumal der Kläger selbst vorgetragen hat, dass der Beklagtenvertreter in der Verhandlung auf die Klageerwiderung und die Verwaltungsvorgänge hingewiesen habe.
188452|1|Abgesehen davon kann der Kläger schon deshalb nicht mit Erfolg geltend machen, er habe sich zu Angaben der C.  C1.   über in den Jahren 2010 bis 2015 gezahlte Lohnsummen und Angaben der Deutschen Rentenversicherung S.         über von seiner Firma, der B.     o. e. I.      GmbH, von 2010 bis 2013 beschäftigte Rohrinstallateure nicht äußern können, weil er ausweislich eines Aktenvermerks am 6.12.2016 auf die von der Firma zur Sozialversicherung gemeldeten Arbeitnehmer für Klempner- und Installationsarbeiten angesprochen worden war.
188452|0|Mit dieser Kenntnis oblag es ihm, sich im Laufe des weiteren Verfahrens Akteneinsicht zu verschaffen, wenn er zu den genauen Erkenntnissen, die der Beklagten vorlagen, hätte Stellung nehmen wollen.
188452|0|9
